,hour,tweet,Tweets_duygu,sınıflandırma
0,09,Ali Koçtan Şike Kumpası Davasında verilen cezalara ilişkin ilk açıklama  ,negatif,spor 
1,08,Abdulkadir Selvi Venezuelaya giden CHPli milletvekili konuşmalı  ,negatif,siyaset 
2,08,Futbolda şike soruşturmasını ilk başlatan polis Ahmet Kalendere en az  yıl hapis cezası verildi  ,negatif,spor 
3,08,SONDAKİKA Futbolda şike kumpası davası Hidayet Karacaya  yıl hapis cezası  ,negatif,spor 
4,06,AKPde bir istifa kararı daha  ,negatif,siyaset 
5,06,CHPli Tanrıkulu  Yargıtay Mehmet Ağar hakkında infaz edilmiş cezayı kaldırdı  ,negatif,siyaset 
6,06,Bahçeli Erdoğanın  yıllık dostunu FETÖcü ilan etti İttifak dağılıyor mu  ,negatif,siyaset 
7,06,Ünlü sunucu  Ezgi Avcının tatil pozları mest etti  ,pozitif,saglik 
8,06,Ahmet Takan  Siyaset sahnesindeki racon kesmelere esaslı bir şamar indirdi  ,negatif,siyaset 
9,06,Kılıçdaroğlundan Saraya yanıt Trolleri Kılıçdaroğlu yapmıştır derken  ,negatif,siyaset 
10,06,LeMandan bomba Sedat Peker kapağı  ,negatif,kultur 
11,05,Erdoğanın eski danışmanı öyle şeyler söyledi ki Bütün cihan biliyor tartışma ayyuka çıktı  ,negatif,siyaset 
12,05,Gri pasaport skandalında son perde MHPli Karataş Belediyesi olmayan mehter takımıyla insan kaçırmış  ,negatif,siyaset 
13,05,TBMM Başkanı Şentop  bin dolar alan kimse açıklansın  ,negatif,siyaset 
14,05,Sedat Peker pazar  günü açıklayacağım demişti CHPli Özelden Süleyman Soyluya çağrı  ,negatif,siyaset 
15,05,AKPde istifa şoku Peş peşe açıkladılar  ,negatif,siyaset 
16,05,Tuvana Türkay  Türkiyeden gidiyor  ,negatif,spor 
17,05,Magazin muhabirinden şok iddia Nagehan Alçı ve Rasim Ozan Kütahyalı boşandı  ,negatif,kultur 
18,05,İngiltereden Türkiye için kırmızı liste kararı  ,negatif,dunya 
19,05,Erdoğanın  doz aşı oldum sözlerinin ardından Prof Dr Mehmet Ceyhandan açıklama  ,negatif,siyaset 
20,04,Gelecek Partisi Genel Başkan Yardımcısı Çevik partisinden istifa etti  ,negatif,siyaset 
21,04,AKPli eski vekil çirkin sözlerle oy istedi Eğer kaybedersek Reise böyle derler  ,negatif,siyaset 
22,04,Mike Tysondan olay yaratan itiraf Hapisten çıkma karşılığı cinsel ilişkiye girmiş  ,negatif,saglik 
23,04,Belediye meclisinde MHPliler Millet İttifakına destek verdi  AKPliler salonu terk etti  ,negatif,siyaset 
24,04,Esnafın vergi borçlarına faizsiz erteleme  ,pozitif,ekonomi 
25,04,Ezgi Molaya Destek  Veren  Ünlü İsme Suç Duyurusu  ,negatif,siyaset 
26,04,Sarat İttifakında gerilim MHP ve AKP arasındaki süreç en başa dönebilir  ,negatif,siyaset 
27,04,Topbaşın damadı Kavurmacının ortağının İBBye sattığı araziden belediye  milyon dolar zarara uğratılmış  ,negatif,ekonomi 
28,03,AKP Sözcüsü Ömer Çelikten erken seçim açıklaması  ,negatif,siyaset 
